congress,state_abbrev,district,Winner,Last.Dem.Voteshare,Rep.Ideology,terms,DemFund,RepFund,Rep-DemFunds,Education,%Rural,%White,Median Age
109,CO,1,1,68.705,-0.432,-4,"632,594","17,034","-615,560",,,,
109,CO,2,1,55.004,-0.353,-3,"1,122,459","8,374","-1,114,085",,,,
109,CO,3,1,29.061,0.391,0,"1,661,486","1,638,304","-23,182",,,,
109,CO,4,0,0,0.565,1,"869,007","3,422,482","2,553,475",,,,
109,CO,5,0,0,0.591,9,"11,130","100,276","89,146",,,,
109,CO,6,0,42.125,0.75,3,"827,697","982,522","154,825",,,,
111,CO,1,1,73.498,-0.432,-6,"808,491","13,746","-794,745",,,,
111,CO,2,1,67.202,-0.353,0,"7,353,034","88,757","-7,264,277",,,,
111,CO,3,1,50.552,-0.277,-2,"1,335,166","21,704","-1,313,462",,,,
111,CO,4,1,44.782,0.565,3,"2,893,744","2,862,907","-30,837",,,,
111,CO,5,0,27.037,0.679,1,"241,725","611,755","370,030",,,,
111,CO,6,0,39.098,0.75,0,"273,696","1,467,713","1,194,017",,,,
111,CO,7,1,42.793,-0.282,-1,"1,770,087","34,048","-1,736,039",,,,
113,CO,1,1,71.936,-0.432,-8,"1,051,538","18,183","-1,033,355",47.6,0.7,57.68357594,
113,CO,2,1,62.6,-0.278,-2,"1,147,924","282,436","-865,488",54.8,18.8,83.22754476,
113,CO,3,0,61.613,0.449,1,"1,953,913","2,342,229","388,316",30.9,40.6,71.24690679,
113,CO,4,0,56.197,0.444,1,"905,776","2,295,600","1,389,824",34.7,27.4,72.85236634,
113,CO,5,0,37.04,0.679,3,0,"696,044","696,044",36.2,14.1,72.4135215,
113,CO,6,0,39.331,0.492,2,"1,709,752","3,441,283","1,731,531",42.4,2.7,62.32386691,
113,CO,7,1,63.482,-0.282,-3,"2,975,376","4,839,422","1,864,046",33.2,2.6,64.71067061,
115,CO,1,1,68.229,-0.432,-10,"1,255,486","61,043","-1,194,443",47.6,0.7,57.68357594,
115,CO,2,1,55.685,-0.278,-4,"1,383,484","167,116","-1,216,368",54.8,18.8,83.22754476,
115,CO,3,0,41.071,0.449,3,"1,687,307","1,903,931","216,624",30.9,40.6,71.24690679,
115,CO,4,0,36.748,0.756,1,"73,538","1,011,676","938,138",34.7,27.4,72.85236634,
115,CO,5,0,0,0.679,5,"13,530","587,901","574,371",36.2,14.1,72.4135215,
115,CO,6,0,45.766,0.492,4,"3,133,573","3,515,601","382,028",42.4,2.7,62.32386691,
115,CO,7,1,53.512,-0.282,-5,"1,891,982","53,354","-1,838,628",33.2,2.6,64.71067061,
109,DE,1,0,30.814,0.229,6,"4,429","992,240","987,811",,,,
111,DE,1,0,29.692,0.229,8,"27,845","1,480,591","1,452,746",,,,
113,DE,1,1,37.99,-0.256,-1,"1,526,893","212,168","-1,314,725",31.4,22.2,63.66247813,
115,DE,1,1,64.406,-0.256,0,"1,514,464","219,044","-1,295,420",31.4,22.2,63.66247813,
109,FL,1,0,0,0.633,1,"25,060","377,378","352,318",,,,
109,FL,2,1,72.097,-0.181,-4,"1,903,253","1,133,100","-770,153",,,,
109,FL,3,1,57.587,-0.429,-6,"453,938",0,"-453,938",,,,
109,FL,4,0,31.187,0.333,2,0,"581,117","581,117",,,,
109,FL,5,0,64.269,0.36,1,"140,747","923,134","782,387",,,,
109,FL,6,0,0,0.554,8,"122,764","716,968","594,204",,,,
109,FL,7,0,36.787,0.453,6,0,"472,505","472,505",,,,
109,FL,8,0,49.188,0.458,2,"63,243","617,533","554,290",,,,
109,FL,9,0,0,0.382,11,0,"772,272","772,272",,,,
109,FL,10,0,0,0.325,6,"60,985","556,179","495,194",,,,
109,FL,11,1,84.595,-0.278,-4,"648,911",0,"-648,911",,,,
109,FL,12,0,42.98,0.414,2,"53,500","837,221","783,721",,,,
109,FL,13,0,36.129,0.452,1,"548,279","3,582,920","3,034,641",,,,
109,FL,14,0,0,0.421,0,"25,276","1,892,757","1,867,481",,,,
109,FL,15,0,39.243,0.471,5,"58,925","1,058,969","1,000,044",,,,
109,FL,16,0,37.19,0.311,4,0,"2,240,001","2,240,001",,,,
109,FL,17,1,99.997,-0.363,-1,"556,646",0,"-556,646",,,,
109,FL,18,0,0,0.244,7,"11,883","876,886","865,003",,,,
